#{"t_start": 1674727166.545253, "env_id": null}
r,l,t
-20.0,1038,533.132145
-20.0,990,533.148929
-19.0,939,534.548294
-20.0,889,537.893616
-21.0,811,539.615901
-21.0,946,541.434204
-19.0,1236,543.91156
-21.0,882,544.381123
-17.0,1311,545.653203
-21.0,871,545.679344
-20.0,1054,546.429544
-21.0,765,547.616213
-21.0,947,551.459277
-21.0,783,553.729769
-21.0,765,555.31024
-19.0,1145,555.890816
-20.0,1007,557.116367
-18.0,1191,560.56866
-19.0,1043,560.726945
-21.0,1173,561.630938
-21.0,885,562.704248
-21.0,953,565.672551
-21.0,913,566.892954
-21.0,905,567.402329
-21.0,825,571.478082
-20.0,843,571.503586
-21.0,853,572.19645
-18.0,1315,573.77929
-21.0,945,574.982823
-21.0,783,577.336525
-19.0,998,579.701557
-19.0,1101,579.877856
-20.0,889,582.800408
-19.0,1073,584.961912
-20.0,1053,587.030963
-21.0,825,587.99833
-19.0,1251,588.171342
-20.0,1189,589.973372
-20.0,900,591.283708
-20.0,930,591.4039
-20.0,1040,595.92436
-20.0,979,597.504335
-20.0,921,599.021965
-20.0,919,599.567653
-21.0,1004,600.931487
-20.0,903,602.648769
-20.0,1087,603.912224
-18.0,1124,605.684181
-20.0,1000,608.277321
-19.0,1120,612.96751
-18.0,1243,613.02427
-21.0,845,613.173787
-20.0,1033,614.068008
-18.0,1182,614.517285
-20.0,1013,616.434005
-18.0,1061,619.09593
-21.0,1111,622.533746
-19.0,1023,626.201998
-20.0,956,626.922582
-20.0,1071,626.948226
-20.0,1046,627.342522
-21.0,857,627.510086
-17.0,1278,629.365098
-19.0,945,634.945892
-19.0,1415,637.225749
-21.0,825,638.365679
-19.0,968,639.986509
-19.0,1103,640.566623
-20.0,1121,641.050792
-18.0,1199,642.173026
-20.0,1141,643.947948
-20.0,921,648.765203
-20.0,1288,651.230558
-19.0,1154,652.874469
-19.0,1041,653.003886
-21.0,948,653.903056
-20.0,1082,654.373938
