#{"t_start": 1674743108.5023897, "env_id": null}
r,l,t
-21.0,793,483.706165
-21.0,825,483.773927
-21.0,855,483.924097
-20.0,842,484.895328
-21.0,853,486.706637
-21.0,827,486.840607
-20.0,1023,488.515288
-21.0,825,489.393313
-20.0,838,491.551561
-21.0,947,492.522857
-20.0,898,493.928843
-21.0,827,495.076783
-21.0,843,497.345601
-21.0,783,497.794566
-20.0,872,498.989786
-21.0,793,499.135863
-21.0,825,499.536611
-21.0,826,499.560104
-20.0,842,499.930359
-21.0,855,501.301134
-21.0,825,502.670768
-21.0,849,503.01071
-21.0,825,504.343808
-21.0,793,506.766358
-21.0,943,507.471229
-21.0,825,508.349514
-21.0,783,508.941598
-20.0,902,512.3994
-21.0,825,513.18007
-21.0,825,514.977979
-21.0,827,515.410987
-21.0,827,515.80029
-21.0,945,515.945587
-21.0,915,516.598425
-21.0,905,516.973585
-21.0,825,517.187577
-21.0,783,517.744677
-20.0,871,519.758197
-21.0,825,522.647752
-20.0,977,523.130296
-21.0,825,523.35904
-21.0,853,525.369716
-21.0,943,526.50366
-20.0,842,529.362899
-21.0,795,530.240904
-20.0,936,530.393972
-21.0,783,530.970602
-21.0,874,532.587549
-21.0,811,532.736701
-21.0,871,533.313675
-19.0,956,533.797815
-20.0,899,534.22413
-21.0,849,536.173068
-19.0,1001,537.099513
-20.0,843,539.54438
-20.0,870,539.596373
-21.0,821,541.353062
-21.0,827,542.587127
-20.0,1011,542.972417
-21.0,793,545.820137
-21.0,795,546.444494
-20.0,901,547.762317
-21.0,1053,549.778899
-20.0,838,550.069129
-20.0,917,550.401839
-19.0,937,550.914155
-19.0,1014,552.935268
-20.0,1102,555.48489
-21.0,855,555.897816
-20.0,870,556.14311
-19.0,995,556.166468
-20.0,1082,556.961262
-21.0,783,557.552656
-21.0,783,557.937386
-20.0,904,558.624256
-21.0,783,561.375261
-21.0,913,563.237014
-20.0,870,564.317301
-21.0,825,566.081826
-21.0,885,566.893498
-21.0,853,567.132912
-20.0,888,569.864208
-21.0,793,571.022268
-20.0,866,572.034832
-20.0,843,572.249962
-20.0,842,573.028927
-21.0,885,573.068266
-20.0,1242,573.483293
-20.0,838,573.555808
-21.0,825,573.700774
-21.0,812,574.143263
-20.0,903,578.741517
-21.0,825,580.201446
-21.0,887,580.303362
-21.0,825,583.024525
-21.0,950,584.362594
-20.0,919,584.594349
-21.0,826,586.917771
-21.0,783,588.592984
-21.0,977,588.632658
-20.0,899,589.520389
-21.0,825,589.543782
-21.0,843,589.680131
-20.0,920,589.732028
-21.0,825,589.991475
-20.0,900,590.377678
-19.0,1055,593.321881
-21.0,849,594.982095
-21.0,887,597.188984
-21.0,945,598.394764
-21.0,854,600.944191
-20.0,963,601.46069
-20.0,958,602.696788
-20.0,902,604.193802
-21.0,855,605.009268
-21.0,825,605.331182
-21.0,795,605.596003
-21.0,881,606.865729
-20.0,905,607.016247
-21.0,943,607.627426
-19.0,998,607.756572
-21.0,1003,608.95316
-21.0,825,609.131807
-21.0,888,611.978379
-21.0,885,614.105684
-21.0,793,616.660928
-21.0,853,617.287391
-21.0,886,619.692628
-18.0,1166,620.723559
-20.0,887,621.20924
-21.0,871,622.038678
-20.0,903,622.921865
-20.0,842,623.024207
-21.0,855,623.429083
-21.0,887,624.648571
-20.0,843,625.308366
-20.0,949,625.953668
-21.0,929,626.798712
-19.0,1137,626.892403
-21.0,885,629.013464
-20.0,931,632.037346
-20.0,843,633.525315
-21.0,981,635.678504
-21.0,783,635.954916
-20.0,842,636.057602
-21.0,885,638.409681
-21.0,811,640.40062
-21.0,827,641.362988
-20.0,1020,641.827384
-21.0,825,641.979541
-21.0,783,642.082073
-21.0,968,642.229598
-20.0,994,642.330794
-21.0,823,642.794503
-19.0,1137,644.964308
-21.0,849,645.501233
-20.0,842,648.42377
-20.0,902,653.057271
-20.0,1010,653.125823
-21.0,941,654.182059
-21.0,997,655.156741
-20.0,960,656.904406
-21.0,881,658.95276
-21.0,909,659.577603
-19.0,999,659.646168
-20.0,902,659.685978
-20.0,890,659.924882
-20.0,992,660.47146
-21.0,970,660.522776
-21.0,883,662.481245
-21.0,1089,663.182229
-21.0,915,665.980807
-19.0,1138,666.862815
-21.0,839,670.538203
-20.0,958,671.701268
-21.0,853,671.786181
-19.0,1114,674.751947
-21.0,843,676.009636
-21.0,841,676.067007
