#{"t_start": 1674922134.0819445, "env_id": null}
r,l,t
-21.0,794,443.308155
-21.0,783,443.548182
-19.0,949,444.001477
-21.0,854,446.444258
-19.0,949,447.723804
-21.0,893,448.203411
-20.0,963,449.053158
-21.0,811,453.329177
-19.0,1061,453.365506
-21.0,821,453.409434
-21.0,905,453.462157
-18.0,1032,454.595687
-21.0,972,455.998136
-20.0,842,456.682589
-21.0,765,456.841884
-20.0,862,457.572968
-20.0,984,460.156899
-21.0,826,461.695682
-21.0,913,461.874305
-21.0,765,462.012023
-18.0,1136,462.49423
-19.0,1267,462.701787
-21.0,914,463.662057
-21.0,853,467.808651
-21.0,898,468.606235
-19.0,962,469.587241
-20.0,899,469.739781
-21.0,827,469.944134
-21.0,860,471.344215
-18.0,1116,472.142683
-21.0,873,472.295573
-20.0,958,472.833666
-21.0,823,473.934762
-21.0,793,475.93907
-21.0,823,476.239945
-21.0,853,476.263469
-20.0,923,477.298313
-21.0,1033,479.043862
-21.0,931,479.311794
-21.0,783,481.028048
-21.0,793,482.980183
-20.0,889,483.60199
-21.0,873,484.673316
-21.0,903,484.979223
-21.0,855,485.766568
-21.0,854,486.557235
-21.0,915,487.792565
-21.0,903,488.141448
-21.0,793,489.428516
-20.0,930,489.717839
-21.0,793,489.738895
-21.0,765,490.332663
-21.0,1033,493.775024
-21.0,874,493.83213
-20.0,843,495.255432
-20.0,949,495.327278
-20.0,862,497.536077
-21.0,887,498.575383
-21.0,871,499.676963
-21.0,827,499.734841
-21.0,783,499.792705
-21.0,949,500.713299
-21.0,765,501.022536
-21.0,783,502.908476
-21.0,885,504.595102
-20.0,870,504.948188
-20.0,998,506.198471
-19.0,1133,506.863535
-20.0,843,507.952584
-20.0,981,510.304427
-20.0,906,510.485731
-18.0,1032,512.656956
-20.0,843,512.754897
-21.0,825,513.56401
-20.0,1009,514.550102
-21.0,1004,516.72558
-20.0,986,517.381778
-21.0,783,518.196865
-21.0,917,518.405991
-19.0,1166,519.498741
-18.0,1194,521.200724
-21.0,887,521.245149
-20.0,987,521.316911
-21.0,1005,523.868663
-20.0,959,524.1902
-21.0,843,524.777964
-20.0,900,525.560709
-21.0,793,527.003053
-21.0,915,528.155625
-21.0,783,530.532031
-21.0,972,530.942903
-19.0,1122,531.713313
-21.0,827,532.101341
-20.0,871,533.041701
-20.0,842,533.649072
-20.0,1023,533.926502
-21.0,885,536.150986
-20.0,903,536.396146
-21.0,843,538.342185
-20.0,929,539.473338
-21.0,871,540.193556
-21.0,823,540.854596
-20.0,1170,540.877245
-19.0,1005,545.063988
-21.0,843,545.139044
-20.0,898,545.669274
-21.0,821,545.942098
-20.0,903,546.942636
-18.0,1339,547.32165
-21.0,825,547.857237
-20.0,1005,549.999294
-21.0,1003,550.597007
-21.0,827,552.341381
-20.0,1023,553.695851
-20.0,843,553.756927
-21.0,821,554.738402
-21.0,871,554.944121
-20.0,1170,555.931903
-20.0,1050,558.569048
-20.0,866,559.750362
-21.0,905,560.343015
-21.0,811,561.508214
-21.0,975,562.113433
-20.0,903,562.170681
-21.0,765,562.889124
-20.0,1016,563.080573
-19.0,945,563.264245
-21.0,825,564.482325
-21.0,825,567.545832
-21.0,941,568.151623
-21.0,783,569.065787
-20.0,872,569.582691
-20.0,903,569.907215
-20.0,983,570.278509
-21.0,853,572.943553
-21.0,793,573.701633
-21.0,892,574.776362
-20.0,842,575.673429
-20.0,923,577.640401
-21.0,887,577.998498
-20.0,964,578.394842
-21.0,931,578.567373
-21.0,978,580.977311
-19.0,1098,581.759058
-21.0,793,582.469295
-20.0,917,583.020978
-21.0,887,583.126294
-21.0,853,583.989354
-20.0,898,585.474244
-21.0,1003,586.894841
-21.0,825,587.696962
-20.0,931,590.549931
-18.0,1047,593.399858
-20.0,1229,593.72774
-21.0,959,594.249066
-20.0,1000,595.479984
-19.0,1058,595.555821
